ORDER_ITEM_SK,ORDER_FK,PRODUCT_FK,EMPLOYEE_FK,CUSTOMER_FK,SHIPPER_FK,ORDER_DATE,SHIP_DATE,REQUIRED_DELIVERY_DATE,DISCOUNT_PCT,UNIT_PRICE,QUANTITY,GROSS_TOTAL,NET_TOTAL,FREIGHT_ALLOCATED,HAD_DISCOUNT,ORDER_NUMBER,RECIPIENT_NAME,RECIPIENT_CITY,RECIPIENT_REGION,RECIPIENT_COUNTRY,LOADED_AT
5f52bd32f4b59e58f8f14a0e9d8aedaf,10249,51,6,TOMSP,1,2012-07-05,2012-07-10,2012-08-16,0.00,4240,40,1696.00,1696.00,6.00,N,LEG-10249,Toms Spezialitäten,Münster,Western Europe,GERMANY,2025-01-14 06:51:38
969a42a0fc82aa75c212920d9fe2f541,10250,51,4,HANAR,2,2012-07-08,2012-07-12,2012-08-05,0.15,4240,35,1484.00,1261.40,22.00,Y,LEG-10250,Hanari Carnes,Rio de Janeiro,South America,BRAZIL,2025-01-03 14:40:50
31d69caa9f34a9c2c336c5307b6c7512,10251,22,3,VICTE,1,2012-07-08,2012-07-15,2012-08-05,0.05,1680,6,100.80,95.76,13.67,Y,LEG-10251,Victuailles en stock,Lyon,Western Europe,FRANCE,2025-01-10 12:35:05
997a054f871eb5bbeb8b7e341ce1e384,10251,57,3,VICTE,1,2012-07-08,2012-07-15,2012-08-05,0.05,1560,15,234.00,222.30,13.67,Y,LEG-10251,Victuailles en stock,Lyon,Western Europe,FRANCE,2024-12-20 00:36:07
80f5f81b66894e14b39d67e429e1ae9d,10251,65,3,VICTE,1,2012-07-08,2012-07-15,2012-08-05,0.00,1680,20,336.00,336.00,13.67,N,LEG-10251,Victuailles en stock  ,Lyon,Western Europe,FRANCE,2024-12-26 00:25:32
f1900708e3559c6f2f852ecb9eac9c30,10252,20,4,SUPRD,2,2012-07-09,2012-07-11,2012-08-06,0.05,6480,40,2592.00,2462.40,17.00,Y,LEG-10252,Suprêmes délices  ,Charleroi,Western Europe,BELGIUM,2025-01-10 22:50:14
03acafa61ced1734797b18b76542766c,10252,60,4,SUPRD,2,2012-07-09,2012-07-11,2012-08-06,0.00,2720,40,1088.00,1088.00,17.00,N,LEG-10252,Suprêmes délices,Charleroi,Western Europe,BELGIUM,2024-12-21 23:13:07
a6e1baf28c6ab6b0390c312a3e94d680,10254,24,5,CHOPS,2,2012-07-11,2012-07-23,2012-08-08,0.15,360,15,54.00,45.90,7.67,Y,LEG-10254,Chop-suey Chinese,Bern,Western Europe,SWITZERLAND,2024-12-19 06:06:08
c8c9fcac587c999ca2b90a44d6d1a616,10254,55,5,CHOPS,2,2012-07-11,2012-07-23,2012-08-08,0.15,1920,21,403.20,342.72,7.67,Y,LEG-10254,Chop-suey Chinese,Bern,Western Europe,SWITZERLAND,2024-12-20 01:05:50
73d26e90b460a5ad7e89dbf69684eb0d,10254,74,5,CHOPS,2,2012-07-11,2012-07-23,2012-08-08,0.00,800,21,168.00,168.00,7.67,N,LEG-10254,Chop-suey Chinese,Bern,Western Europe,SWITZERLAND,2024-12-24 16:38:01
63fe45d9ba2258a589917fe41ecf6d50,10255,2,9,RICSU,3,2012-07-12,2012-07-15,2012-08-09,0.00,1520,20,304.00,304.00,37.00,N,LEG-10255,Richter Supermarkt,Genève,Western Europe,SWITZERLAND,2025-01-15 04:25:43
f400b1e251995726d548c5b84adbe8a4,10255,16,9,RICSU,3,2012-07-12,2012-07-15,2012-08-09,0.00,1390,35,486.50,486.50,37.00,N,LEG-10255,Richter Supermarkt,Genève,Western Europe,SWITZERLAND,2025-01-07 17:59:01
c736ffbc6a3adeec85e2191ff5487261,10255,36,9,RICSU,3,2012-07-12,2012-07-15,2012-08-09,0.00,1520,25,380.00,380.00,37.00,N,LEG-10255,Richter Supermarkt,Genève,Western Europe,SWITZERLAND,2024-12-29 23:34:46
ae6843ce59075b27058f7f3f33f257ef,10255,59,9,RICSU,3,2012-07-12,2012-07-15,2012-08-09,0.00,4400,30,1320.00,1320.00,37.00,N,LEG-10255,Richter Supermarkt,Genève,Western Europe,SWITZERLAND,2025-01-05 01:08:29
6fe419c918d8c2cb4beb6cb89ba19a55,10257,27,4,HILAA,3,2012-07-16,2012-07-22,2012-08-13,0.00,3510,25,877.50,877.50,27.33,N,LEG-10257,HILARION-Abastos,San Cristóbal,South America,VENEZUELA,2024-12-30 03:50:21
ffa77b8305718312b6e67529eff33dd8,10257,39,4,HILAA,3,2012-07-16,2012-07-22,2012-08-13,0.00,1440,6,86.40,86.40,27.33,N,LEG-10257,HILARION-Abastos,San Cristóbal,South America,VENEZUELA,2024-12-28 01:21:10
7a20c4324445264614c900544f600209,10257,77,4,HILAA,3,2012-07-16,2012-07-22,2012-08-13,0.00,1040,15,156.00,156.00,27.33,N,LEG-10257,HILARION-Abastos  ,San Cristóbal,South America,VENEZUELA,2024-12-29 19:15:46
96e7900430c3b10649aa53efd296bb7d,10258,32,1,ERNSH,1,2012-07-17,2012-07-23,2012-08-14,0.20,2560,6,153.60,122.88,47.00,Y,LEG-10258,Ernst Handel,Graz,Western Europe,AUSTRIA,2025-01-13 09:22:36
5a5956e8fa7d8471143a86429aa7a421,10259,21,4,CENTC,3,2012-07-18,2012-07-25,2012-08-15,0.00,800,10,80.00,80.00,1.50,N,LEG-10259,Centro comercial Moctezuma,México D.F.,Central America,MEXICO,2024-12-20 11:14:57
39862ef7eddc65088c9626e2b054c7ec,10259,37,4,CENTC,3,2012-07-18,2012-07-25,2012-08-15,0.00,2080,1,20.80,20.80,1.50,N,LEG-10259,Centro comercial Moctezuma,México D.F.,Central America,MEXICO,2024-12-28 02:58:32
c4a664ecc4380a574ce9e8d613cf4cfb,10260,41,4,OTTIK,1,2012-07-19,2012-07-29,2012-08-16,0.25,770,16,123.20,92.40,13.75,Y,LEG-10260,Ottilies Käseladen  ,Köln,Western Europe,GERMANY,2025-01-01 06:25:22
c2a44c9d117a26a67a44c2ae8403da3e,10260,57,4,OTTIK,1,2012-07-19,2012-07-29,2012-08-16,0.00,1560,50,780.00,780.00,13.75,N,LEG-10260,Ottilies Käseladen,Köln,Western Europe,GERMANY,2024-12-28 22:39:53
6c7af12a1d7d09bf4b3c8ff589b1f50f,10260,62,4,OTTIK,1,2012-07-19,2012-07-29,2012-08-16,0.25,3940,15,591.00,443.25,13.75,Y,LEG-10260,Ottilies Käseladen,Köln,Western Europe,GERMANY,2025-01-12 02:57:45
db260625085317d8f47a0d1483d20c4f,10260,70,4,OTTIK,1,2012-07-19,2012-07-29,2012-08-16,0.25,1200,21,252.00,189.00,13.75,Y,LEG-10260,Ottilies Käseladen  ,Köln,Western Europe,GERMANY,2025-01-04 10:28:46
d9f5d018c1472249bdd396c6d8309f2c,10261,21,4,QUEDE,2,2012-07-19,2012-07-30,2012-08-16,0.00,800,20,160.00,160.00,1.50,N,LEG-10261,Que Delícia,Rio de Janeiro,South America,BRAZIL,2025-01-11 15:02:09
b1cb53448f267c83a8662e9b54fb3433,10261,35,4,QUEDE,2,2012-07-19,2012-07-30,2012-08-16,0.00,1440,20,288.00,288.00,1.50,N,LEG-10261,Que Delícia,Rio de Janeiro,South America,BRAZIL,2025-01-10 14:19:30
c86ab256b861eadc5d51fc9d6d754882,10262,7,8,RATTC,3,2012-07-22,2012-07-25,2012-08-19,0.00,2400,15,360.00,360.00,16.00,N,LEG-10262,Rattlesnake Canyon Grocery,Albuquerque,North America,USA,2024-12-24 11:44:20
366f1cf7d2215a362ca28c013e287eda,10263,16,9,ERNSH,3,2012-07-23,2012-07-31,2012-08-20,0.25,1390,60,834.00,625.50,36.50,Y,LEG-10263,Ernst Handel,Graz,Western Europe,AUSTRIA,2024-12-28 18:56:23
d37cf02ea9ed25db7f26015733bc27b1,10263,24,9,ERNSH,3,2012-07-23,2012-07-31,2012-08-20,0.00,360,28,100.80,100.80,36.50,N,LEG-10263,Ernst Handel,Graz,Western Europe,AUSTRIA,2024-12-29 06:04:47
6bbb43a97c059203d52c01d3fece019d,10263,30,9,ERNSH,3,2012-07-23,2012-07-31,2012-08-20,0.25,2070,60,1242.00,931.50,36.50,Y,LEG-10263,Ernst Handel,Graz,Western Europe,AUSTRIA,2025-01-02 12:56:54
cb1148f314799273da8e24978c076023,10263,74,9,ERNSH,3,2012-07-23,2012-07-31,2012-08-20,0.25,800,36,288.00,216.00,36.50,Y,LEG-10263,Ernst Handel,Graz,Western Europe,AUSTRIA,2025-01-12 00:48:37
4d25c85f77f96e28fa22a54e135bea6b,10264,2,6,FOLKO,3,2012-07-24,2012-08-23,2012-08-21,0.00,1520,35,532.00,532.00,2.00,N,LEG-10264,Folk och fä HB,Bräcke,Northern Europe,SWEDEN,2025-01-07 04:36:33
68442b58e7d6364aba099b745509d9fe,10264,41,6,FOLKO,3,2012-07-24,2012-08-23,2012-08-21,0.15,770,25,192.50,163.62,2.00,Y,LEG-10264,Folk och fä HB,Bräcke,Northern Europe,SWEDEN,2025-01-03 14:46:29
112e4752eeef420e028b2d7255bac6e1,10265,17,2,BLONP,1,2012-07-25,2012-08-12,2012-08-22,0.00,3120,30,936.00,936.00,27.50,N,LEG-10265,Blondel père et fils,Strasbourg,Western Europe,FRANCE,2024-12-28 01:54:09
700003b880cee8a6442183d5c3401d7d,10265,70,2,BLONP,1,2012-07-25,2012-08-12,2012-08-22,0.00,1200,20,240.00,240.00,27.50,N,LEG-10265,Blondel père et fils,Strasbourg,Western Europe,FRANCE,2024-12-19 11:06:24
5d8da758b905a05b253b4a609f4bf107,10267,40,4,FRANK,1,2012-07-29,2012-08-06,2012-08-26,0.00,1470,50,735.00,735.00,69.67,N,LEG-10267,Frankenversand,München,Western Europe,GERMANY,2024-12-30 18:11:00
7b5ca84e527d857e44cfe35bf9d41291,10267,59,4,FRANK,1,2012-07-29,2012-08-06,2012-08-26,0.15,4400,70,3080.00,2618.00,69.67,Y,LEG-10267,Frankenversand,München,Western Europe,GERMANY,2025-01-12 18:49:40
31136ca46501bdd41551e14a061461d7,10267,76,4,FRANK,1,2012-07-29,2012-08-06,2012-08-26,0.15,1440,15,216.00,183.60,69.67,Y,LEG-10267,Frankenversand,München,Western Europe,GERMANY,2025-01-13 22:36:02
0774fd1a2484bd65e68234f6aa1b769c,10268,29,8,GROSR,3,2012-07-30,2012-08-02,2012-08-27,0.00,9900,10,990.00,990.00,33.00,N,LEG-10268,GROSELLA-Restaurante,Caracas,South America,VENEZUELA,2024-12-27 00:36:33
8373aadffc6f1a3bfea41fa5738b764a,10268,72,8,GROSR,3,2012-07-30,2012-08-02,2012-08-27,0.00,2780,4,111.20,111.20,33.00,N,LEG-10268,GROSELLA-Restaurante,Caracas,South America,VENEZUELA,2025-01-05 06:11:14
5b016d96e403282bcda5d4869793a248,10269,33,5,WHITC,1,2012-07-31,2012-08-09,2012-08-14,0.05,200,60,120.00,114.00,2.50,Y,LEG-10269,White Clover Markets,Seattle,North America,USA,2024-12-18 23:11:15
fc4b3eb263d8a2a80ee5aa740b0ef5c6,10269,72,5,WHITC,1,2012-07-31,2012-08-09,2012-08-14,0.05,2780,20,556.00,528.20,2.50,Y,LEG-10269,White Clover Markets,Seattle,North America,USA,2024-12-31 05:22:26
86f6be39fa939b6005b28808c0f306ae,10270,36,1,WARTH,1,2012-08-01,2012-08-02,2012-08-29,0.00,1520,30,456.00,456.00,68.50,N,LEG-10270,Wartian Herkku,Oulu,Scandinavia,FINLAND,2024-12-22 06:21:13
1e4c8a6cd3a1d0c1310f6d753683e04b,10270,43,1,WARTH,1,2012-08-01,2012-08-02,2012-08-29,0.00,3680,25,920.00,920.00,68.50,N,LEG-10270,Wartian Herkku,Oulu,Scandinavia,FINLAND,2024-12-24 05:23:56
a83752ae7f65fac8cc7f9212fe00a90c,10272,31,6,RATTC,2,2012-08-02,2012-08-06,2012-08-30,0.00,1000,40,400.00,400.00,32.67,N,LEG-10272,Rattlesnake Canyon Grocery,Albuquerque,North America,USA,2025-01-08 17:19:08
c6afc4bd68fc17e96c5475e17bb1d809,10273,10,3,QUICK,3,2012-08-05,2012-08-12,2012-09-02,0.05,2480,24,595.20,565.44,15.20,Y,LEG-10273,QUICK-Stop,Cunewalde,Western Europe,GERMANY,2024-12-19 05:57:32
3296584b740225e474e2ea51438549ae,10273,31,3,QUICK,3,2012-08-05,2012-08-12,2012-09-02,0.05,1000,15,150.00,142.50,15.20,Y,LEG-10273,QUICK-Stop,Cunewalde,Western Europe,GERMANY,2024-12-18 02:54:29
d0d0b601bcce44464f4e0af9144d4f70,10273,33,3,QUICK,3,2012-08-05,2012-08-12,2012-09-02,0.00,200,20,40.00,40.00,15.20,N,LEG-10273,QUICK-Stop,Cunewalde,Western Europe,GERMANY,2024-12-18 04:08:06
ad88f20f5f3206c05da69c604342146b,10273,40,3,QUICK,3,2012-08-05,2012-08-12,2012-09-02,0.05,1470,60,882.00,837.90,15.20,Y,LEG-10273,QUICK-Stop,Cunewalde,Western Europe,GERMANY,2025-01-04 20:28:23
11dba5ea7a5c07ecf3dd8270f43f0f02,10274,71,6,VINET,1,2012-08-06,2012-08-16,2012-09-03,0.00,1720,20,344.00,344.00,3.00,N,LEG-10274,Vins et alcools Chevalier,Reims,Western Europe,FRANCE,2025-01-08 18:49:55
669c35b8cb2e13709167f92fb59a6452,10275,24,1,MAGAA,1,2012-08-07,2012-08-09,2012-09-04,0.05,360,12,43.20,41.04,13.50,Y,LEG-10275,Magazzini Alimentari Riuniti,Bergamo,Southern Europe,ITALY,2025-01-11 02:04:59
20d691ff792def7692e3e246e7bd587f,10276,10,8,TORTU,3,2012-08-08,2012-08-14,2012-08-22,0.00,2480,15,372.00,372.00,7.00,N,LEG-10276,Tortuga Restaurante,México D.F.,Central America,MEXICO,2025-01-10 04:14:59
4c492f1162fadf66b604c37d82fbb6c9,10276,13,8,TORTU,3,2012-08-08,2012-08-14,2012-08-22,0.00,480,10,48.00,48.00,7.00,N,LEG-10276,Tortuga Restaurante,México D.F.,Central America,MEXICO,2025-01-07 17:36:27
3792c4d9d5a046c5bd456b0f86695428,10277,28,2,MORGK,3,2012-08-09,2012-08-13,2012-09-06,0.00,3640,20,728.00,728.00,63.00,N,LEG-10277,Morgenstern Gesundkost,Leipzig,Western Europe,GERMANY,2024-12-26 00:08:53
ad1651148c867c7d511d4c14105a100b,10277,62,2,MORGK,3,2012-08-09,2012-08-13,2012-09-06,0.00,3940,12,472.80,472.80,63.00,N,LEG-10277,Morgenstern Gesundkost,Leipzig,Western Europe,GERMANY,2024-12-27 19:42:49
